"","lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"49","Woodland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",0.746810671038327,0.40177966611008,0.717502659726768,0.13233493938362,0.370841280279522,1.13099036363516,1.67040122341729
"50","Woodland","Fungi_richness","Fungal Richness","Richness","Fungi",-1.53717443440132,0.392653149472142,-1.50825932895361,-2.26373878136579,-1.88526197991476,-1.17031403885608,-0.846604960769731
"51","Woodland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.259667264449169,0.416277503530089,-0.167314262471216,-1.01118173614014,-0.708986063232552,0.139773335141377,0.361889168849542
"52","Woodland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",0.855969532238592,0.366836869395277,0.844048946462111,0.294896626461868,0.515786471802649,1.20489786073313,1.6419298137527
"53","Woodland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",-0.352681891847134,0.301808591092991,-0.354357047719281,-0.843758399551512,-0.635493203927656,-0.0771611256647074,0.26532557865661
"54","Woodland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",-0.569559045259112,0.28651989742128,-0.577855332442459,-1.05138329702629,-0.843176838802617,-0.26770383445455,-0.0607934955351007
"55","Woodland","Nematode_richness","Nematode Richness","Richness","Nematodes",-0.825653798605525,0.349224772217036,-0.802774391204091,-1.41571082587592,-1.13840675190894,-0.514266733757504,-0.181953475120728
"56","Woodland","Nutrient_service","Nutrient cycling","Function","Function",-0.927510146535454,0.286837720807023,-0.914336609576341,-1.40643841820389,-1.18669887823055,-0.652719265006061,-0.434350194158516
"57","Woodland","OM_decomposition_service","Decomposition (OM)","Function","Function",-0.601240773520352,0.243712107892844,-0.600451093073157,-1.01075469888898,-0.817179206659672,-0.366507075529261,-0.135356185243829
"58","Woodland","Pathogen_control","Pathogen control","Function","Function",-0.54331570049528,0.20085386887813,-0.554769162471481,-0.857707153147789,-0.744085603262901,-0.346955099210712,-0.150998988310512
"59","Woodland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.851121812467345,0.418303381009068,0.841273575560685,0.222374998748448,0.412765096457403,1.26278855728503,1.68599514299813
"60","Woodland","Protist_richness","Protist Richness","Richness","Protists",0.0415518783287053,0.312071672023891,0.0466245118068826,-0.465340659165109,-0.244452379162419,0.325246875167493,0.662321961146036
"61","Woodland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",0.673621720660023,0.318135715150951,0.67728838431494,0.158473279118926,0.401426064310928,0.967506409888476,1.29883294497679
"62","Woodland","Soil_carbon_service","Soil carbon","Function","Function",-0.587535800590032,0.250267853976871,-0.596953434277593,-0.956856218163045,-0.814754764859555,-0.384050983702672,-0.00319882533695068
"63","Woodland","Soil_stability_service","Soil stability","Function","Function",-0.41885856840431,0.369040134995873,-0.395200883970901,-1.06978798378478,-0.749572057802181,-0.0892489153132764,0.255681300864348
"64",NA,"Water_regulation_service","Water regulation","Function","Function",NA,NA,NA,NA,NA,NA,NA
