scale,fns,model,loo_comp,elpd_loo,p_loo,looic,se_elpd_loo,se_p_loo,se_looic,elpd_loo_diff,se_loo_diff,elpd_waic,p_waic,waic,se_elpd_waic,se_p_waic,se_waic,r2,r2_se,r2_q2.5,r2_q97.5
continental,Fungi_richness,intercept,NA,-4532.794598906108,9.115216313223712,9065.589197812216,18.085891532024483,1.1821396701092155,36.17178306404897,0,0,-4532.647344437713,8.96796184483422,9065.294688875427,18.08075696770298,1.1321820960223261,36.16151393540596,0.03700861654784923,0.012172895290061348,0.01626069262303947,0.06357630853401892
continental,Fungi_richness,slope,similar,-4532.367720374774,6.257614454627132,9064.735440749548,18.145925399718735,0.4769498860009011,36.29185079943747,-0.4268785313317913,2.3109669674384037,-4532.363065652278,6.252959732131267,9064.726131304556,18.14571266412406,0.4761803672768533,36.29142532824812,0.026374514746743183,0.010507665491213462,0.009078026667430883,0.049658955588409395
continental,Invertebrate_richness,intercept,NA,-3798.5831519821586,15.023324251655414,7597.166303964317,55.78342131347513,4.495497093077725,111.56684262695026,0,0,-3798.2172799860236,14.657452255519651,7596.434559972047,55.580041515377886,4.227288379013757,111.16008303075577,0.03145113915516602,0.011082492271695006,0.012697359874083587,0.05520010938393157
continental,Invertebrate_richness,slope,similar,-3797.2435994319085,13.882152233703032,7594.487198863817,56.32361643413113,4.216974142560197,112.64723286826226,-1.3395525502552257,2.062140741030862,-3797.229432831286,13.867985633083446,7594.458865662572,56.316089293938816,4.207336025247927,112.63217858787763,0.025679543478205953,0.010415757189023264,0.008411394346682989,0.049026996365147665
continental,Protist_richness,intercept,NA,-4547.904757185864,8.883133331193434,9095.809514371727,19.373700115547585,0.9252806926965212,38.74740023109517,0,0,-4547.789320760406,8.767696905733885,9095.578641520811,19.371354689188912,0.8835773386416901,38.742709378377825,0.12029978524740657,0.020404692297222256,0.08153151746448782,0.16160477079291502
continental,Protist_richness,slope,similar,-4545.624419184072,6.663877727723308,9091.248838368145,19.429148210807266,0.5767854010323354,38.85829642161453,-2.280338001789513,2.144646378469969,-4545.61770919164,6.657167735286352,9091.23541838328,19.428790159309553,0.5753938918804593,38.85758031861911,0.11612149735112835,0.0203490455678523,0.07740724004958875,0.15691740778568425
continental,Nematode_richness,intercept,NA,-2829.2738524777187,10.33896126921587,5658.547704955437,27.931999187147277,1.4196939995618125,55.86399837429455,0,0,-2829.166052704523,10.231161496013117,5658.332105409046,27.92972996572351,1.3955607729598072,55.85945993144702,0.034385695112533685,0.011694862418577217,0.014496292122451616,0.05977949179566857
continental,Nematode_richness,slope,similar,-2827.5028582139016,7.936099488657777,5655.005716427803,27.66617383819266,0.9798642048094477,55.33234767638532,-1.770994263827788,1.6464426947949635,-2827.4956593910943,7.928900665857531,5654.9913187821885,27.66582182139831,0.9789698665013857,55.33164364279662,0.02763168845592361,0.010935017767747626,0.0093677605629687,0.05172424845258329
continental,Bac_shannonDiv,intercept,NA,-369.73436127834054,18.044372594789202,739.4687225566811,63.72177666205043,6.655669611215242,127.44355332410086,0,0,-369.38207002485746,17.69208134130637,738.7641400497149,63.54522309929912,6.4650007706104216,127.09044619859824,0.32053446644336564,0.02315324743938135,0.2736003270458463,0.36395680783632556
continental,Bac_shannonDiv,slope,similar,-363.801590792197,15.557632112676476,727.603181584394,64.6482529654934,6.667944678466967,129.2965059309868,-5.932770486143413,4.173438117649447,-363.83757298141654,15.59361430189564,727.6751459628331,64.6765999608667,6.698702822425168,129.3531999217334,0.32404603326947223,0.0230827821646794,0.27775523869580526,0.36827972521085695
continental,Fungi_shannonDiv,intercept,NA,-779.6799637456404,10.376716239098483,1559.3599274912808,23.073368706478014,1.361874185843232,46.14673741295603,0,0,-779.5448177112617,10.241570204719979,1559.0896354225233,23.070521223087482,1.3288909288110529,46.141042446174964,0.028619884464812395,0.010443344789086081,0.011099387383154205,0.051771663181634314
continental,Fungi_shannonDiv,slope,similar,-778.6172140465407,7.627225579012135,1557.2344280930813,23.259589911679026,1.0953282063192378,46.51917982335805,-1.062749699098955,2.0094607264085838,-778.6112940196165,7.6213055520874695,1557.222588039233,23.259472612334637,1.0948823241852488,46.518945224669274,0.019361189239395313,0.008963805387558503,0.005317817845296336,0.039693430432999804
continental,Invertebrate_shannonDiv,intercept,NA,-895.5801098894223,9.567513000295186,1791.1602197788445,23.72656680305753,0.9883776657119265,47.45313360611506,0,0,-895.4773479990298,9.464751109902808,1790.9546959980596,23.72518033502853,0.9616912623953205,47.45036067005706,0.03938334169968799,0.012615621442529285,0.017500358515618084,0.06658474669397377
continental,Invertebrate_shannonDiv,slope,similar,-894.0487485577212,7.7139568242404355,1788.0974971154424,23.737604843550475,0.7817561936804327,47.47520968710095,-1.5313613317007988,1.8801158178794706,-894.0448263484336,7.710034614953813,1788.0896526968672,23.737558242084795,0.781244917998175,47.47511648416959,0.03292155962490429,0.011790037572252497,0.012885228749267405,0.05862301127701603
continental,Protist_shannonDiv,intercept,NA,-791.3341741249277,10.462326833777167,1582.6683482498554,31.444196967596394,1.4189153570987165,62.88839393519279,0,0,-791.2244215995245,10.352574308373292,1582.448843199049,31.446935051737732,1.3914443537541579,62.893870103475464,0.06350329926623428,0.015692278017951044,0.035189400623619055,0.09606868336220856
continental,Protist_shannonDiv,slope,worse,-786.880497845313,9.027310443403865,1573.760995690626,32.2235323261262,1.4385751919112109,64.4470646522524,-4.453676279614875,2.0767311826245813,-786.9066332372066,9.05344583529577,1573.8132664744132,32.23712292973995,1.4548167964959362,64.4742458594799,0.06482701930103285,0.016078961984907103,0.0358067947008538,0.09813685590057092
continental,Ectomycorrhizal_richness,intercept,NA,-3122.5982386509113,23.239468185120792,6245.196477301823,79.82071515986979,9.548306979704382,159.64143031973958,0,0,-3122.619018958222,23.26024849241197,6245.238037916444,79.97870447767558,9.726800226953841,159.95740895535116,0.1640956150826855,0.02207157499905973,0.12173785983155314,0.20762837699877984
continental,Ectomycorrhizal_richness,slope,similar,-3121.7137210756614,19.570133756834103,6243.427442151323,79.77615137334179,9.269932174834869,159.55230274668358,-0.8845175752591921,2.0671601634823076,-3122.213604984998,20.070017666185826,6244.427209969996,80.1558432492842,9.730961213836595,160.3116864985684,0.15477402693987086,0.02194914479508857,0.11209308904769552,0.19810921621883898
continental,Arbuscularmycorrhizal_richness,intercept,NA,-2363.8909475855457,10.759621191428494,4727.7818951710915,37.22168667454091,1.696071315592521,74.44337334908182,0,0,-2363.8280272126385,10.69670081852187,4727.656054425277,37.223184184291654,1.6893708172585904,74.44636836858331,0.05690436381431808,0.015127288131370242,0.029549958478974,0.08880406078037348
