"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Shrubland",-1.26787997358567,-0.0291032807137106,1.21145967311639,"Bac_shannonDiv",8,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.68159745065934,-0.437258719392715,0.83314363109857,"Bac_JaccDist_av",8,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-4.04967814863248,-2.3951536620189,-0.663964004413938,"Bac_richness",8,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-4.04010906303432,-2.3879442783495,-0.659107741306575,"Bac_shannonDiv",8,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.349597254723836,1.93883669325957,3.45337573392096,"Bac_JaccDist_av",8,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.771599793424904,2.55634170858516,4.26454929382429,"Bac_richness",9,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",0.461886774684788,2.09928787392017,3.6608120359571,"Bac_shannonDiv",9,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-3.27174464374565,-1.79659031121588,-0.24830704870743,"Bac_JaccDist_av",9,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-1.23126503221771,0.0085961398534171,1.24792969841441,"Bac_richness",9,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-1.71857464502808,-0.47228220361341,0.802044872089266,"Bac_shannonDiv",9,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-2.19523303837385,-0.90571203744313,0.433111116639194,"Bac_JaccDist_av",9,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-4.48939327214695,-2.72353331175912,-0.881606806656201,"Bac_richness",9,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-4.0097147078115,-2.3650156795809,-0.643644239883882,"Bac_shannonDiv",9,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.183914376051829,1.2179074877275,2.55900037732744,"Bac_JaccDist_av",9,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.111171825495122,1.60795570131921,3.0345151683162,"Bac_richness",10,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.427822054270462,0.912173788606594,2.20256263306726,"Bac_shannonDiv",10,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-2.70554260040633,-1.3400350794656,0.089717929869523,"Bac_JaccDist_av",10,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.531452246723533,0.786858315122317,2.06108454303348,"Bac_richness",10,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-0.800806200424193,0.473682153423264,1.72005794481305,"Bac_shannonDiv",10,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.54975978579053,-0.310561263989684,0.947412333642522,"Bac_JaccDist_av",10,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-2.36707019092693,-1.05492298690769,0.312439917867229,"Bac_richness",10,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-2.46681575472888,-1.14008252021713,0.244872742533039,"Bac_shannonDiv",10,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.57830703140211,0.731079993523402,1.99902983230952,"Bac_JaccDist_av",10,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.550764446440432,2.22830271932119,3.82943142270859,"Bac_richness",11,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",0.507962834290148,2.16595373927331,3.74775260029324,"Bac_shannonDiv",11,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.89517243701891,-0.636579046758523,0.658780413961137,"Bac_JaccDist_av",11,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-1.12001498875893,0.124857489002926,1.36208719636007,"Bac_richness",11,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-1.2734186549566,-0.0347822013608201,1.20598895958436,"Bac_shannonDiv",11,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-0.578267260802047,0.731127019024467,1.99908192173446,"Bac_JaccDist_av",11,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-3.95276383827215,-2.32195789804939,-0.614531650432579,"Bac_richness",11,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-3.52695028585238,-1.99597115898144,-0.38982907713117,"Bac_shannonDiv",11,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.0372269597054945,1.40908511858452,2.78936582715033,"Bac_JaccDist_av",11,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",-0.145467209907656,1.26746283020842,2.61819236797641,"Bac_richness",12,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.572071428744088,0.738491153468341,2.00724405122948,"Bac_shannonDiv",12,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.44658920739115,-0.209285059730301,1.04078004941894,"Bac_JaccDist_av",12,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
