LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale,Group_function,scale_icon,significance
Grassland,-0.4537444920515554,-29.54326492067952,29.97421567946003,Invertebrate_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,0.47603233164409176,-179.5422046928934,173.4779489642824,Fungi_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.47809115000245583,-8.669998347310866,23.635642502757037,Nematode_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.5009222514645444,-179.98152299261164,167.28149165840296,Fungi_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.5424931493325857,-18.23465607897151,15.790468465853335,Decomposer_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.6133438046508672,-183.94769915195863,184.20511541020824,Protist_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.8009062863396252,-8.833006708173684,4.986009097897295,Ectomycorrhizal_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.9006256754746573,-71.74296439970362,66.25361906666512,Fungi_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.9146431035057958,-9.890149220995,3.912568992447632,Ectomycorrhizal_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.9201152346224716,-10.738897906371392,3.660989551707644,Ectomycorrhizal_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,1.024047200199675,-22.02830650125884,31.033475409018138,Invertebrate_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,1.1001421164228304,-16.989355900168448,15.17820849026566,Decomposer_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-1.1499031340708823,-17.40081642614473,14.75431448530071,Nematode_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-1.1978326343214576,-69.8784368049096,75.30901464979979,Fungi_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-1.4348898112691586,-35.48149278275136,18.81876348718015,Soil_carbon_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,1.488033938643639,-28.16433806958139,26.98005754992846,Invertebrate_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-1.6021356185119655,-193.16117090548323,200.44628861885576,Protist_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,1.7475815120160405,-184.62424365053084,174.1897021843688,Fungi_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,1.7805215497821791,-25.467794630082608,24.561376598794595,Soil_carbon_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-1.7964622594881805,-907.9930077079916,906.7280168172438,Bac_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
