LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale
Cropland,-0.5763268885395973,-12.185567783592433,20.52524717792403,Nematode_richness,regional
Grassland,0.5903060783248293,-16.362523756734845,15.046434626776318,Nematode_richness,regional
Woodland,0.14400154497263884,-10.556909795830052,18.3688305450014,Nematode_richness,regional
Cropland,-1.2986470335363265e-4,-3.5781303761598338,3.750588167605656,Bac_shannonDiv,regional
Grassland,-0.046697984490378985,-3.719902759011788,3.9285000323973236,Bac_shannonDiv,regional
Woodland,0.01812392250656103,-3.1784616668915078,3.0767261084363327,Bac_shannonDiv,regional
Cropland,0.018566502521935035,-3.1194184511529386,3.5572809933960343,Fungi_shannonDiv,regional
Grassland,0.004331113803118569,-3.2898267107674997,3.321882717138351,Fungi_shannonDiv,regional
Woodland,0.013233244391642529,-2.9825031569476437,2.96253987654336,Fungi_shannonDiv,regional
Cropland,-0.04483122994537325,-3.1954618145654194,3.1939360772405507,Invertebrate_shannonDiv,regional
Grassland,0.06698064718898422,-3.2962815536774315,3.2523466136522075,Invertebrate_shannonDiv,regional
Woodland,-0.06883691460028896,-2.8103911099006673,2.7830318397188876,Invertebrate_shannonDiv,regional
Cropland,-0.007509008151600938,-3.695690975564901,3.6069112055567984,Protist_shannonDiv,regional
Grassland,0.016697620187301254,-3.868525698009762,4.127075612200542,Protist_shannonDiv,regional
Woodland,0.08514109909305034,-3.370190071051489,3.443353471233195,Protist_shannonDiv,regional
Cropland,0.03625932415877742,-4.656917765313892,3.8747642063558487,Ectomycorrhizal_richness,regional
Grassland,0.41357027451030604,-4.133640286768468,5.24551410680715,Ectomycorrhizal_richness,regional
Woodland,0.2042784430636857,-5.207652775911583,5.23309152371985,Ectomycorrhizal_richness,regional
Cropland,-0.11597286900190795,-3.830765879162186,3.086748467396319,Arbuscularmycorrhizal_richness,regional
Grassland,-0.2877008304222102,-4.423080700757168,3.1667066340912697,Arbuscularmycorrhizal_richness,regional
Woodland,-0.10359320917982728,-5.29352947871962,2.3938789427388656,Arbuscularmycorrhizal_richness,regional
Cropland,0.08055743058491771,-9.223348408575305,4.733868151978186,Decomposer_richness,regional
Grassland,0.4039392791150931,-6.4047590391131735,6.6701991682784865,Decomposer_richness,regional
Woodland,0.21935997281275377,-5.4188872821279155,5.396968459296204,Decomposer_richness,regional
Cropland,-0.09461599646228747,-2.1396459571325863,2.5169317829831925,Bac_JaccDist_av,regional
Grassland,-0.05318910335635252,-3.286826343540042,2.198836354038008,Bac_JaccDist_av,regional
Woodland,0.0021116927315603107,-3.056279772627363,1.9854452404466656,Bac_JaccDist_av,regional
Cropland,0.21680264021038198,-1.1536518605223591,4.004419494422109,Fungi_JaccDist_av,regional
Grassland,-0.23314736653339985,-2.6717816370107528,1.7237996910535003,Fungi_JaccDist_av,regional
Woodland,0.004165805423818725,-2.0137086588547533,4.2613224087009485,Fungi_JaccDist_av,regional
Cropland,-0.399968366731569,-2.5850642464541096,1.850857902661005,Protist_JaccDist_av,regional
Grassland,0.09816633102214212,-2.4219718201650267,3.7576146563635575,Protist_JaccDist_av,regional
Woodland,0.19880432980889395,-1.9444589530548342,5.607019562196001,Protist_JaccDist_av,regional
Cropland,0.025247940557857618,-1.7260079477300678,2.846932315673598,Invertebrate_JaccDist_av,regional
Grassland,0.0208017578770594,-2.312898412132327,2.514001089829435,Invertebrate_JaccDist_av,regional
Woodland,-0.04232322682455347,-2.9343148161598265,1.650903512179525,Invertebrate_JaccDist_av,regional
