PA_rank,emmean,lower.HPD,upper.HPD,fns,scale
Unprotected,0.9666630617674679,0.9649788658066224,0.9683562320875713,Pathogen_control,regional
3,2809.7126098470317,2395.8387931325437,3241.6337664220164,Bac_richness,regional
5,2865.5670766985986,1851.9085307482712,3877.838082290732,Bac_richness,regional
6,2938.77831382025,2760.300707515364,3117.3404166152222,Bac_richness,regional
8,3042.833502888339,2856.9612418080783,3229.917041260704,Bac_richness,regional
Unprotected,3008.6077051044176,2935.4497708610356,3085.24884558909,Bac_richness,regional
3,228.57403117662426,194.75368299081805,261.75878674491446,Fungi_richness,regional
5,156.76161632996883,80.26331486588421,242.12710701031628,Fungi_richness,regional
6,180.32701765311782,166.24841683477504,194.42596144476929,Fungi_richness,regional
8,177.04595434508835,162.79568706916814,192.15207317266743,Fungi_richness,regional
Unprotected,181.0281831821399,175.00969222759042,186.83987091092723,Fungi_richness,regional
3,49.410950526100564,37.777347648859774,61.102323816349355,Invertebrate_richness,regional
5,44.03405827240351,15.256892878567491,72.10938362045417,Invertebrate_richness,regional
6,37.55988528519008,32.585380102416565,42.45013002009307,Invertebrate_richness,regional
8,40.20294229251708,35.01691582701619,45.31619144116925,Invertebrate_richness,regional
Unprotected,41.17133518635724,39.12404704353101,43.24037566936924,Invertebrate_richness,regional
3,298.9027361342586,225.95166764795835,374.2957744765202,Protist_richness,regional
5,221.16641238063062,42.73369931387464,396.3511744944351,Protist_richness,regional
6,241.4600362347374,210.60625109662362,273.07969600918364,Protist_richness,regional
8,249.67159424236308,217.42390744468662,281.8814660555489,Protist_richness,regional
Unprotected,270.60473807151175,257.80748641701126,283.76440398603654,Protist_richness,regional
3,29.567299059069573,22.60498984503626,37.00482262962433,Nematode_richness,regional
5,26.387850458884685,8.636199833178475,43.477513106358174,Nematode_richness,regional
6,21.296183261265412,18.22911466506992,24.297403590791227,Nematode_richness,regional
8,24.415383766539087,21.253015632633055,27.578483005353714,Nematode_richness,regional
Unprotected,23.86988752853081,22.612978078405668,25.168303699299926,Nematode_richness,regional
3,6.954116264545539,6.701874873397089,7.198864787800225,Bac_shannonDiv,regional
5,6.950041518660281,6.358611707977768,7.5868302550383335,Bac_shannonDiv,regional
6,7.069811381893354,6.965259064473834,7.180190677664491,Bac_shannonDiv,regional
8,7.173311218135193,7.062996430943457,7.286378299199045,Bac_shannonDiv,regional
Unprotected,7.118118403545969,7.073642191102684,7.163738108016499,Bac_shannonDiv,regional
3,4.029503446898787,3.7431095688478138,4.311230730444015,Fungi_shannonDiv,regional
5,3.5532971958806483,2.8507452584355466,4.247221773306596,Fungi_shannonDiv,regional
6,3.6504345389060977,3.5298128765565284,3.7744843949393654,Fungi_shannonDiv,regional
8,3.5777703608317557,3.4496319103568416,3.701894751839656,Fungi_shannonDiv,regional
Unprotected,3.640187181436182,3.589313175421294,3.691065936192526,Fungi_shannonDiv,regional
3,2.938064698159159,2.4375263837403076,3.439517004713088,Invertebrate_shannonDiv,regional
5,2.867459100032606,1.6657366048137088,4.112403253081471,Invertebrate_shannonDiv,regional
6,2.4353428011220952,2.222834990489552,2.6458879665776296,Invertebrate_shannonDiv,regional
8,2.616923588621211,2.389403544649954,2.8331788047909825,Invertebrate_shannonDiv,regional
Unprotected,2.6126138661168183,2.522599369936042,2.7001896885345658,Invertebrate_shannonDiv,regional
3,4.882655040069047,4.241048496543499,5.526381848904009,Protist_shannonDiv,regional
5,4.792971831723802,3.191590620469365,6.310623982768265,Protist_shannonDiv,regional
6,4.449897562348278,4.174195857652032,4.722938200413678,Protist_shannonDiv,regional
8,4.435536576469544,4.151456358139669,4.723182105211268,Protist_shannonDiv,regional
Unprotected,4.360174354000531,4.247597701498767,4.478405465889033,Protist_shannonDiv,regional
3,6.785738684900709,4.483074228322346,9.054923545453466,Ectomycorrhizal_richness,regional
5,0.29950883167814635,-5.340722859579595,5.647756306033213,Ectomycorrhizal_richness,regional
6,4.423299517610809,3.4528737786244985,5.388231132245456,Ectomycorrhizal_richness,regional
8,4.104717145455874,3.1021305862039337,5.1040449065106595,Ectomycorrhizal_richness,regional
Unprotected,3.4604461904086743,3.052733794366238,3.862645534706023,Ectomycorrhizal_richness,regional
3,1.4110487192138472,0.14013111189370114,2.7579710020765043,Arbuscularmycorrhizal_richness,regional
