PA_rank,emmean,lower.HPD,upper.HPD,fns,scale
6,246.37560427752422,140.65723215794733,389.1790682141516,Protist_richness,regional
8,254.3996243946865,148.0422066886887,395.7266092406166,Protist_richness,regional
Unprotected,274.0184711467738,174.48685169256035,420.84027192789847,Protist_richness,regional
3,30.228564891564446,17.641286546377614,42.70438298337776,Nematode_richness,regional
5,27.140673578438882,6.862206379343125,44.463299555687676,Nematode_richness,regional
6,21.786491024337973,14.371375141416223,34.90335870291916,Nematode_richness,regional
8,24.952268107911994,16.948331379674528,36.43266647079789,Nematode_richness,regional
Unprotected,24.221430107233022,16.47008904186391,35.409235567874916,Nematode_richness,regional
3,6.971002685030835,5.274249151424376,8.644334147658046,Bac_shannonDiv,regional
5,6.980778955363464,5.246257508439078,8.730282594938942,Bac_shannonDiv,regional
6,7.083324282108407,5.423520226316248,8.77651829524857,Bac_shannonDiv,regional
8,7.187242614233831,5.548304538999309,8.88588917115388,Bac_shannonDiv,regional
Unprotected,7.129363738281933,5.489124705668436,8.8309741419831,Bac_shannonDiv,regional
3,4.028036211055149,2.3273596497685096,5.8119187674275485,Fungi_shannonDiv,regional
5,3.5591279414465475,1.749590435827318,5.38021816832747,Fungi_shannonDiv,regional
6,3.6531806008809733,2.005130107799525,5.449144674363815,Fungi_shannonDiv,regional
8,3.5802291205118406,1.9002550787043109,5.34570002029481,Fungi_shannonDiv,regional
Unprotected,3.6435546069866014,1.9556335925349293,5.391508723560771,Fungi_shannonDiv,regional
3,2.8524005119760867,0.4717305477243785,4.907766368950172,Invertebrate_shannonDiv,regional
5,2.753135347529941,0.40404947259889484,5.0796973454553545,Invertebrate_shannonDiv,regional
6,2.3803984869130232,-0.3244153296603072,4.23199667657301,Invertebrate_shannonDiv,regional
8,2.5612148533204158,-0.10964015554999129,4.388614383361738,Invertebrate_shannonDiv,regional
Unprotected,2.5680616813412604,-0.009816848682128315,4.407476522655972,Invertebrate_shannonDiv,regional
3,4.894542081726373,3.0664361524693193,6.845055785194127,Protist_shannonDiv,regional
5,4.780976320461974,2.5294804161062774,7.195628737102333,Protist_shannonDiv,regional
6,4.454936916329891,2.557427711961663,6.254297844114206,Protist_shannonDiv,regional
8,4.43447149376514,2.5756221547649476,6.237448645504946,Protist_shannonDiv,regional
Unprotected,4.363502846873619,2.5329715338132255,6.185631219777258,Protist_shannonDiv,regional
3,6.594051454526375,2.999789836887918,10.152692115051941,Ectomycorrhizal_richness,regional
5,0.14075156937317324,-5.747044027845099,6.407787990524496,Ectomycorrhizal_richness,regional
6,4.2973846821007715,0.8129190599756805,6.705714230250468,Ectomycorrhizal_richness,regional
8,3.971482777752014,0.2131309030349254,6.3050918885908676,Ectomycorrhizal_richness,regional
Unprotected,3.362632156536968,0.2863201043678436,6.072291295960774,Ectomycorrhizal_richness,regional
3,1.3385401297642856,-1.3989506803473355,3.2514492913046413,Arbuscularmycorrhizal_richness,regional
