PA_rank,emmean,lower.HPD,upper.HPD,fns,scale
6,5.4926655514285505,0.791659520827489,8.922248646457675,Arbuscularmycorrhizal_richness,continental
7,6.757665760742363,1.0520929220048443,12.724373760297262,Arbuscularmycorrhizal_richness,continental
8,3.9406255840678455,-0.7816234067822693,7.469863085796744,Arbuscularmycorrhizal_richness,continental
9,5.104193982831104,0.017583203870103148,9.396422000562698,Arbuscularmycorrhizal_richness,continental
Unprotected,4.967742401390344,0.004960072547990024,7.892485778817761,Arbuscularmycorrhizal_richness,continental
3,10.457125729113024,-23.36536798097988,41.66510145760704,Decomposer_richness,continental
5,25.805690326297327,2.623861687751826,48.5366472516275,Decomposer_richness,continental
6,23.1630452971103,7.191672415654356,34.96463979851454,Decomposer_richness,continental
7,28.54092384056086,3.081661381018771,53.16486488779907,Decomposer_richness,continental
8,20.979878320177903,6.302488402521745,33.229760997842774,Decomposer_richness,continental
9,18.30089215072895,1.985156139189961,34.58254755839195,Decomposer_richness,continental
Unprotected,23.036231398488045,7.477704284307437,30.992672976541115,Decomposer_richness,continental
3,0.8268443331953839,-0.6061363532928601,2.1876223005202666,Bac_JaccDist_av,continental
5,0.8562403733334228,-0.5813756817534839,2.2135944532472402,Bac_JaccDist_av,continental
6,0.8465396793314572,-0.5852633213214715,2.207790563402057,Bac_JaccDist_av,continental
7,0.8368589361151442,-0.49264331271276685,2.299241261638226,Bac_JaccDist_av,continental
8,0.8486317912335877,-0.5857116368497911,2.2070240346444607,Bac_JaccDist_av,continental
9,0.8531254370689914,-0.5824031706120169,2.2104321035899575,Bac_JaccDist_av,continental
Unprotected,0.8508776412017129,-0.5862341491194503,2.2069963813113525,Bac_JaccDist_av,continental
3,0.8888024453632842,-1.3363026556787885,2.0176953329867535,Fungi_JaccDist_av,continental
5,0.88884747601394265,-1.321065359832234,2.023056640796654,Fungi_JaccDist_av,continental
6,0.8878546479327212,-1.3218365489877295,2.0234832783530505,Fungi_JaccDist_av,continental
7,0.8918167604115561,-1.318455811490221,2.027386868765604,Fungi_JaccDist_av,continental
8,0.8878680343212028,-1.326794072797946,2.0192018657489688,Fungi_JaccDist_av,continental
9,0.8832258364926173,-1.332527897947348,2.012936310665604,Fungi_JaccDist_av,continental
Unprotected,0.8894367639922225,-1.321002326205509,2.024730949273503,Fungi_JaccDist_av,continental
3,1.028282661085975,0.18707284119172116,2.7815686897765177,Protist_JaccDist_av,continental
5,1.027494507251418,0.1809525840790291,2.7789453019108343,Protist_JaccDist_av,continental
6,1.030707365375187,0.19052827050464677,2.7890580017412767,Protist_JaccDist_av,continental
7,1.032316448728011,0.18828929980806824,2.785433831642308,Protist_JaccDist_av,continental
8,1.0295572058079996,0.18797047886559465,2.7859965340906943,Protist_JaccDist_av,continental
9,1.027799077652022,0.19128126236922352,2.788930104803837,Protist_JaccDist_av,continental
Unprotected,1.029931506946037,0.18821555578243293,2.7860564230099696,Protist_JaccDist_av,continental
3,0.9411666792107574,-0.29209784922571325,1.8928976498968821,Invertebrate_JaccDist_av,continental
5,0.9395504157155039,-0.29200167076278755,1.8933485964130623,Invertebrate_JaccDist_av,continental
6,0.9376787923255941,-0.2946402248601121,1.89008886250777,Invertebrate_JaccDist_av,continental
7,0.9373929174521519,-0.29623805641893974,1.8916880832147414,Invertebrate_JaccDist_av,continental
8,0.9392789394541539,-0.29353186723933006,1.8922754486030766,Invertebrate_JaccDist_av,continental
9,0.9343173893123874,-0.3001259669109078,1.8867293179163198,Invertebrate_JaccDist_av,continental
Unprotected,0.9388595497247803,-0.2931836420947137,1.892883901044271,Invertebrate_JaccDist_av,continental
