Order_ID,Latitude_c,Longitude_c ,Eco_c,Soil_pH,Soil_salinity,Clay_silt_c,Soil_carbon_service,OM_decomposition_service,Water_regulation_service,Soil_stability_service,Nutrient_service,Pathogen_control,Richness_bacteria,Fungi_18s_richness,Invertebrate_18s_richness,Protist_18s_richness,Ectomycorrhizal_18s_richness,Arbuscular_mycorrhizal_18s_richness,Decomposers_18s_richness,Diss_Bacteria_std,Diss_Fungi_std,Diss_Protists_std,Diss_invert_std
287,19.601338,-99.47591717,Forest,7.49,129,60.36,0.528556552,0.141363729,0.236803508,0.536758981,0.198845873,0.996503497,3551.0000,196.0000,20.0000,411.0000,6.0000,5.0000,42.0000,0.4418,0.7035,0.4427,0.6342
290,19.081,-99.1701,Forest,4.98,141,52.8,0.35146329,0.196318552,0.347437827,0.55955956,0.529001479,0.990675991,2703.0000,127.0000,35.0000,214.0000,4.0000,0.0000,29.0000,0.6831,0.6982,0.6837,0.6450
302,40.57222,-4.15333,Forest,6.47,386,32.54,0.097699342,0.157874568,0.469845649,0.698698699,0.633968394,0.977855478,3960.0000,205.0000,45.0000,539.0000,8.0000,1.0000,43.0000,0.1365,0.4718,0.1057,0.2614
318,58.61782,-93.80862,Shrubland,4.74,88,13.44,0.087753734,0.156760736,0.23764863,0.541319097,0.463416926,0.998834499,1388.0000,87.0000,11.0000,96.0000,4.0000,0.0000,23.0000,1.0000,0.9951,0.7804,0.6024
326,7.757,4.828,Forest,5.72,112,25.92,0.037511994,0.106269512,0.30104379,0.528317977,0.131344169,0.184149184,3906.0000,193.0000,26.0000,454.0000,1.0000,3.0000,45.0000,0.5355,0.6880,0.4873,0.5897
338,7.616,4.414,Forest,5.82,166,24.76,0.06170609,0.173700108,0.28378743,0.449449449,0.160263292,0.988344988,4027.0000,164.0000,58.0000,533.0000,6.0000,2.0000,48.0000,0.5466,0.5547,0.3807,0.3944
341,7.615,4.385,Forest,6,72,37.14,0.045744394,0.218511468,0.406480248,0.171393616,0.058428203,0.972027972,4318.0000,215.0000,49.0000,564.0000,4.0000,3.0000,41.0000,0.4167,0.6812,0.3496,0.4895
344,28.296,-81.0404,Forest,6.73,61,6.08,0.017689888,0.089619672,0.117642181,0.860404622,0.054169259,0.974358974,4332.0000,183.0000,44.0000,420.0000,2.0000,1.0000,38.0000,0.4798,0.3884,0.3710,0.4325
350,27.4712,-81.5303,Forest,6.97,75,13.3,0.030950434,0.046382458,0.274446556,0.84194721,0.053844434,0.988344988,3505.0000,169.0000,21.0000,403.0000,6.0000,1.0000,48.0000,0.3745,0.4735,0.4324,0.6925
356,26.9093,-82.0678,Forest,7.54,87,7.86,0.014084207,0.082744992,0.283657008,0.518518519,0.068927787,0.953379953,3849.0000,167.0000,23.0000,381.0000,2.0000,1.0000,27.0000,0.3931,0.5024,0.4132,0.6073
362,37.201074,-5.844497,Forest,5.64,91,15.48,0.026676682,0.114071791,0.431156087,0.942164387,0.077108217,0.984848485,3911.0000,183.0000,45.0000,340.0000,5.0000,2.0000,31.0000,0.3716,0.5682,0.3829,0.3531
