SampleID,LC,Latitude,Longitude,Elevation,AnnualPrec,AnnualTemp,Soil_pH,Soil_salinity,Soil_texture,Soil_carbon_service,OM_decomposition_service,Soil_stability_service,Nutrient_service,Pathogen_control,Bac_richness,Fungi_richness,Invertebrate_richness,Protist_richness,Nematode_richness,Bac_shannonDiv,Fungi_shannonDiv,Invertebrate_shannonDiv,Protist_shannonDiv,Ectomycorrhizal_richness,Arbuscularmycorrhizal_richness,Decomposer_richness,Bac_JaccDist_av,Fungi_JaccDist_av,Protist_JaccDist_av,Invertebrate_JaccDist_av,PA,PA_type,PA_rank
130,Cropland,available on request,available on request,273,1632.6,1.4150000000000034,4.83,75.1,26.51,3.38,-0.30330533061331216,0.8107376137136675,-0.10252122455568652,0.971264367816092,3824,174,35,366,20,7.63144488778628,3.73963037112029,1.33173521792829,4.57237520815646,2,2,14,0.7548784516393623,0.8143709416321052,0.8686816118982191,0.91775350267693,0,NA,NA
135,Grassland,available on request,available on request,785,2228.6,1.105000000000001,4.58,149.13,34.72,7.26,1.4724209681188885,0.8845232697557207,-0.1331565233014022,0.9764309764309764,3199,297,77,431,52,7.22584398943992,4.40573295635171,3.8078466281246,4.14936887490903,5,6,30,0.7511666301909018,0.8106025640334553,0.8642819490970044,0.8972769247777423,0,NA,NA
139,Other,available on request,available on request,162,1424,1.4750000000000056,6.14,134.17,28.59,4.58,0.3756563766558306,0.4065002097780184,0.805203267607965,0.9723502304147466,3926,217,48,405,38,7.6748257323277,3.6865994119329,3.15982528977511,4.74049124125176,2,7,11,0.7658884691115644,0.7804789006731058,0.8667384016951883,0.8802597192747513,0,NA,NA
140,Woodland,available on request,available on request,390,1663.3000000000002,1.355000000000001,4.25,110.7,24.7,26.02,3.0580738517242434,1.7185618083835197,-0.030388795566686,0.975,2560,200,70,212,36,6.8465624412238,3.92246670282733,3.61577136057491,2.7807342156299,3,0,19,0.7583882862230686,0.7883559114491473,0.8838934506488915,0.8702527988685872,0,NA,NA
147,Cropland,available on request,available on request,70,1462.7,1.5350000000000024,6.63,214.67,27.14,6.3,0.9160335588796588,0.6080982845462898,3.572887889846963,0.9779411764705882,3765,136,18,439,11,7.59827546826156,3.8286105299448,1.48889763892822,5.26469159744937,1,0,9,0.8067869368253857,0.8357192742849436,0.8956530569463003,0.9489818644090364,0,NA,NA
148,Woodland,available on request,available on request,81,1455.2,1.5350000000000024,4.73,115,46.8,18.59,1.5186585037393676,1.6622405449875526,-0.31629741433347097,0.9801980198019802,2925,202,53,199,30,7.03112429842893,4.01400416472865,2.36497456269557,3.47483870448278,3,0,22,0.7610625071526204,0.8076916135591018,0.9018691827918228,0.875352196046409,0,NA,NA
149,Grassland,available on request,available on request,44,1356.4,1.5450000000000046,5.36,108,27.71,3.72,-0.19763783231166288,0.8267430031897489,1.1010295399507577,0.9370629370629372,3755,143,28,385,24,7.5670317037985,3.40499611651967,2.67248608876258,4.27614251823665,0,1,10,0.7693764598275347,0.8224987895703431,0.8762028046993807,0.9160551420649136,0,NA,NA
150,Grassland,available on request,available on request,187,1491.7,1.4550000000000012,5.3,162.3,21.22,8.66,3.357401056004188,0.7899561711255171,1.2026601467638685,0.9703703703703704,2935,270,50,454,32,7.09403574573414,4.05139725609051,3.45156015200527,5.17354928402171,2,5,15,0.7659642389048568,0.7955274081841044,0.867084908667155,0.8884251762866695,0,NA,NA
151,Other,available on request,available on request,721,674.7,1.2850000000000024,5.24,56.6,24.41,2.38,-0.0947881339647242,-0.0864869852766601,0.17268500425397984,0.9611111111111112,3346,180,64,320,32,7.28335411848767,4.02572101950224,3.42862178191258,3.84565232078642,5,2,7,0.7498368158733693,0.7771926910098459,0.8495346793285582,0.8849519678407435,1,V,6
152,Grassland,available on request,available on request,758,689.9000000000001,1.2650000000000037,4.63,90.53,33.43,7.37,1.520067403716723,0.4960792633825636,0.2263390289588635,0.976525821596244,2627,213,64,295,37,6.71266796958994,3.69980848501312,3.38282821098367,4.79607265347657,4,1,14,0.7544609787858023,0.7966870962511144,0.8687668251835058,0.8727640202967127,1,V,6
