SampleID,LC,Latitude,Longitude,Elevation,AnnualPrec,AnnualTemp,Soil_pH,Soil_salinity,Soil_texture,Soil_carbon_service,OM_decomposition_service,Soil_stability_service,Nutrient_service,Pathogen_control,Bac_richness,Fungi_richness,Invertebrate_richness,Protist_richness,Nematode_richness,Bac_shannonDiv,Fungi_shannonDiv,Invertebrate_shannonDiv,Protist_shannonDiv,Ectomycorrhizal_richness,Arbuscularmycorrhizal_richness,Decomposer_richness,Bac_JaccDist_av,Fungi_JaccDist_av,Protist_JaccDist_av,Invertebrate_JaccDist_av,PA,PA_type,PA_rank
1152,Dryland,-24.33415,15.76662,871,80,2.205000000000001,8.14,226,6.666666666666671,1.792217972262825,-0.8212521691199454,2.777777777777779,-0.6000157603118469,0.9540229885057472,3372,174,26,301,16,6.90207849335933,3.29556169867065,1.38440919232601,4.7232460488031,1,2,8,0.8879656422317104,0.8639757252403893,0.8737407168250841,0.92475843661464,1,II,3
1153,Dryland,-24.32231,15.75855,877,80.4,2.205000000000001,8.32,122.6,4.1111111111111285,0.44844105964285286,-0.9033717812690047,3.0000000000000027,-0.7956030150584245,0.9572192513368984,3779,187,22,307,12,7.26962832809881,3.05457168617864,1.06501033493323,4.61354622591359,1,0,12,0.8881815866957345,0.8522326018368311,0.8677148852598686,0.9268648872508316,1,II,3
1163,Dryland,31.55473,35.21655,652,515.5,1.855000000000001,7.76,973,73.88888888888889,25.889288893605183,-0.01848992877837474,29.555555555555557,0.32742976320969575,0.9654088050314464,4323,318,77,307,54,7.61293073874845,3.72880167044063,2.38977421844935,5.23606887928285,7,8,21,0.8605249947357515,0.8322264069288207,0.86584591996797,0.9221306095209412,0,Not Reported,8
1164,Dryland,31.55507,35.21578,652,533.7,1.8250000000000055,7.75,799,75.55555555555556,27.18609050398297,0.12211534673041202,17.22222222222223,0.3947629067106967,0.979381443298969,4267,291,84,298,58,7.59059505130444,4.41948237635427,2.32474815245493,5.18541718684018,6,9,20,0.8594440475390119,0.8279537617077387,0.8649006690060875,0.9106050525146756,0,Not Reported,8
1165,Dryland,31.55444,35.21579,652,533.7,1.8250000000000055,7.56,1060,75.22222222222221,19.724649293532647,-0.21826892937137987,32.111111111111114,0.1872966243693207,0.969283276450512,4391,293,72,329,55,7.65436289868401,4.0616121008227,3.5857225193753,5.35627772686329,5,7,20,0.8615083242216763,0.8204837461204857,0.8582610386306763,0.9038102095244576,0,Not Reported,8
1166,Dryland,38.07486,-6.99667,354,741.1,1.6450000000000045,6.36,196.7,57.77777777777777,46.860909204157146,1.5403971176599278,17.11111111111111,0.8090151621255027,0.9633802816901408,4078,355,66,367,41,7.70028850075982,4.23895167502937,2.59535159345343,5.36198257943653,16,13,14,0.8768888348588891,0.839807396169164,0.8659864493453483,0.9049634354342908,0,Not Reported,8
1167,Dryland,38.07808,-6.99596,368,724.3000000000001,1.6350000000000022,6.37,234,42.888888888888886,48.22054064461796,2.840722537933656,9.888888888888893,0.8446577871449764,0.9724517906336088,4882,363,84,364,46,7.93384556379564,4.53051621431936,3.49451249336642,4.55201515889795,16,7,18,0.8761014430817705,0.8460195111606715,0.8678324259060919,0.8913629102332413,0,Not Reported,8
1168,Dryland,38.08376,-7.00648,354,705.4000000000001,1.6450000000000045,5.69,149.7,38.77777777777776,27.03645477319595,0.7499679941435605,48,0.17294343315441577,0.9576923076923076,4518,260,64,248,35,7.81402093786079,3.66729643253832,3.01906811134593,3.84695275709063,18,1,13,0.8943521665687932,0.8594152371832954,0.8863802558126476,0.9123282841911972,0,Not Reported,8
1172,Dryland,37.58968,-8.07378,268,645.6,1.5950000000000046,5.71,317,29.999999999999982,21.242883898241494,0.9647175267621892,4.666666666666663,-0.06655918956776537,0.9646739130434784,4367,368,72,505,51,7.76516594407071,4.56857433272737,3.42502456010622,5.73542967722021,11,5,24,0.8861378070060079,0.838600402760727,0.8670915313605876,0.90147383297467,0,Not Reported,8
1174,Dryland,37.58949,-8.05996,265,644.9000000000001,1.605000000000001,6.2,186.5,9.888888888888886,32.55236535723896,0.567874270405756,15.111111111111107,0.1884057697808763,0.971938775510204,5054,392,85,573,41,8.01331929992586,4.72558769870238,3.7132063160487,5.56354482070705,10,8,27,0.879095867550917,0.8335062019575414,0.8664240724767681,0.9048732981310064,0,Not Reported,8
1175,Dryland,38.85531,-8.84724,12,656.6,1.6650000000000034,6.23,803,25.000000000000018,12.334750386027372,-0.7816137103277608,6.777777777777782,0.43874741358716163,0.9807692307692308,4467,260,35,588,23,7.68206453342974,4.22200939101968,2.68961850131523,5.42658937646464,4,5,16,0.8967069820471681,0.8609024933374535,0.8845349536332168,0.915118598892952,0,Not Reported,8
1176,Dryland,38.84673,-8.85405,18,657.6,1.6650000000000034,5.72,404,21.222222222222214,30.53644637776235,-0.05916873902761982,34.88888888888889,0.2674969963722906,0.9676375404530744,4727,309,43,511,21,7.86993629597537,4.12477677861546,2.90322463628398,5.51083119667062,14,1,24,0.900897264279798,0.8545492670837428,0.8835982571145022,0.93805463854938,0,Not Reported,8
1177,Dryland,38.8468,-8.85658,18,657.6,1.6650000000000034,4.83,88.7,16.1111111111111,33.26935634196704,0.42900654522141207,41.77777777777778,-0.15754206859065542,0.9693486590038314,4386,261,85,332,50,7.70739044713205,3.88787697417461,2.77565449462623,4.59758729072656,13,3,11,0.9171779275079638,0.8737576035912339,0.8982296780580935,0.9199569857954466,0,Not Reported,8
