SampleID,PA_ID,LC,mahal_dist
47,206,Cropland,44.49319754402332
47,209,Cropland,43.53041025598363
47,227,Cropland,28.22941368903979
47,348,Cropland,47.15016472515982
47,353,Cropland,28.672049839249343
47,354,Cropland,54.32733623522938
47,358,Cropland,42.015532884382516
47,433,Cropland,40.32141198842512
51,22,Cropland,11.582756008893357
51,60,Cropland,21.292012606151523
51,62,Cropland,26.701534334366706
51,157,Cropland,25.422482758589016
51,204,Cropland,16.500596245242928
51,205,Cropland,16.914677994989344
51,206,Cropland,14.06940332014256
51,209,Cropland,15.689777290640174
51,227,Cropland,20.355644459004107
51,348,Cropland,17.759374669765464
51,353,Cropland,17.242085950954824
51,354,Cropland,14.443301890585287
51,358,Cropland,15.08828039884908
51,433,Cropland,23.83504089933467
53,22,Cropland,9.880221915848619
53,60,Cropland,9.2268672526574
53,62,Cropland,14.755452507057308
53,157,Cropland,11.467509659552395
53,204,Cropland,5.2805282361057895
53,205,Cropland,7.168117323297493
53,206,Cropland,4.771045749421477
53,209,Cropland,2.8758581841449318
53,227,Cropland,25.123197977334243
53,348,Cropland,17.007441361089157
53,353,Cropland,10.937385958989626
53,354,Cropland,10.662134933760134
53,358,Cropland,23.484578884655456
53,433,Cropland,15.565424813017401
69,22,Cropland,46.68452289247508
69,60,Cropland,24.063625662094378
69,62,Cropland,30.676609202478698
69,157,Cropland,24.96218242947066
69,204,Cropland,35.84675866945375
69,205,Cropland,31.911125421020756
69,206,Cropland,35.171682614120165
69,209,Cropland,33.74254388017443
69,227,Cropland,31.16585063167187
69,348,Cropland,42.84550058455956
69,353,Cropland,29.11689153703005
69,354,Cropland,52.304571876282736
69,358,Cropland,46.01536439991914
69,433,Cropland,26.21215486804166
72,22,Cropland,37.0272314729606
72,60,Cropland,39.22348684728039
72,62,Cropland,51.6650223230305
72,157,Cropland,45.12197145179485
72,204,Cropland,38.1796184438448
72,205,Cropland,37.20419693674198
72,206,Cropland,34.481369504928985
72,209,Cropland,37.196335569855286
72,227,Cropland,49.58189020001049
72,348,Cropland,50.48748103441112
72,353,Cropland,49.94179503562457
72,354,Cropland,39.13777710101227
72,358,Cropland,36.2207830519435
72,433,Cropland,22.081096580621114
75,22,Cropland,12.501174535678018
75,60,Cropland,16.48930064794164
75,62,Cropland,21.657164319997992
75,157,Cropland,18.04524418058906
75,204,Cropland,17.27275888788744
75,205,Cropland,14.693666815359828
75,206,Cropland,17.071054909887124
75,209,Cropland,21.89275781703236
75,227,Cropland,17.460770451902075
75,348,Cropland,15.402403019455402
75,353,Cropland,20.338538466921136
75,354,Cropland,17.461612929267968
75,358,Cropland,7.818108893282656
75,433,Cropland,7.076992799582059
76,22,Cropland,20.597932724443428
76,60,Cropland,21.773807673185114
76,62,Cropland,20.203813762100783
76,157,Cropland,17.24910543399406
76,204,Cropland,17.640699660048497
76,205,Cropland,16.445304922978366
76,206,Cropland,21.828834030598404
76,209,Cropland,22.575126995792008
76,227,Cropland,33.4918063060587
76,348,Cropland,19.789148500149828
76,353,Cropland,15.875722891256071
76,354,Cropland,16.366965112544683
76,358,Cropland,23.710507045521712
76,433,Cropland,5.147134955518606
80,22,Cropland,24.63710934976036
80,60,Cropland,27.801688539537974
80,62,Cropland,34.35070804033865
80,157,Cropland,24.44935370606603
80,204,Cropland,25.43980690487681
80,205,Cropland,25.08303832124342
80,206,Cropland,24.878356794618096
80,209,Cropland,23.14066944231954
80,227,Cropland,35.18223144446309
80,348,Cropland,31.773745272521218
80,353,Cropland,18.293136537551348
80,354,Cropland,23.34193465629761
80,358,Cropland,25.26439482603446
80,433,Cropland,10.181062784286128
81,22,Cropland,17.228612100560184
81,60,Cropland,22.96354959353835
81,62,Cropland,34.204467906203945
81,157,Cropland,21.764507794228862
81,204,Cropland,24.181692091473167
81,205,Cropland,22.930960875600505
81,206,Cropland,21.910356536693985
81,209,Cropland,23.005622943542182
81,227,Cropland,23.448020294543067
81,348,Cropland,26.057168531531957
81,353,Cropland,19.945519399971946
81,354,Cropland,18.807580777354154
81,358,Cropland,13.170317032532601
81,433,Cropland,7.801766181355615
85,22,Cropland,19.458822111603517
85,60,Cropland,11.481350088947597
85,62,Cropland,14.834580519468611
85,157,Cropland,19.926481482237058
85,204,Cropland,9.69914360316297
85,205,Cropland,8.251849961844492
85,206,Cropland,7.233525138651805
85,209,Cropland,7.472014740590375
85,227,Cropland,20.620234492750168
85,348,Cropland,21.484068017064583
85,353,Cropland,17.16766894654438
85,354,Cropland,28.987606650098527
85,358,Cropland,22.529406976232064
85,433,Cropland,21.046648936517734
87,22,Cropland,12.535509173769718
87,60,Cropland,9.054667165110516
87,62,Cropland,13.496594520343578
87,157,Cropland,18.351023032481848
87,204,Cropland,6.32103118436775
87,205,Cropland,5.755523761605847
87,206,Cropland,3.4909507290863693
87,209,Cropland,4.636742727644053
87,227,Cropland,16.633254148826197
