"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Dryland",-0.927253540427981,-0.478487565988657,-0.0266646973442332,"Nutrient_service",5,"Nutrient cycling","Nutrient cycling","Function","Function"
"Dryland",-1.06089688953755,-0.608578639622193,-0.152433957380233,"Pathogen_control",5,"Pathogen control","Pathogen control","Function","Function"
"Dryland",-1.06826561282042,-0.615724230023996,-0.159318059832049,"Bac_richness",5,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Dryland",-0.975107648169663,-0.525172132128427,-0.071900713470846,"Fungi_richness",5,"Fungal Richness","Fungal R","Richness","Fungi"
"Dryland",-0.633629084783098,-0.189383457598683,0.256095147664246,"Invertebrate_richness",5,"Invertebrate Richness","Invertebrate R","Richness","Invertebrates"
"Dryland",-1.02018737170955,-0.569045168034348,-0.114310902793147,"Protist_richness",5,"Protist Richness","Protist R","Richness","Protists"
"Dryland",-1.02466989349332,-0.573402071226655,-0.118514387259763,"Nematode_richness",5,"Nematode Richness","Nematode R","Richness","Nematodes"
"Dryland",-1.04080371161627,-0.589071284063176,-0.133631652323724,"Bac_shannonDiv",5,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Dryland",-0.604007184807875,-0.159959089996405,0.28513475741437,"Fungi_shannonDiv",5,"Fungal Shannon","Fungal S","Shannon","Fungi"
"Dryland",-1.11780312235461,-0.663697349088744,-0.2054594170153,"Invertebrate_shannonDiv",5,"Invertebrate Shannon","Invertebrate S","Shannon","Invertebrates"
"Dryland",-0.39607443944927,0.0479931935264916,0.491745603970609,"Protist_shannonDiv",5,"Protist Shannon","Protist S","Shannon","Protists"
"Dryland",-1.20519256526894,-0.748044055282295,-0.286297120044445,"Ectomycorrhizal_richness",5,"EM fungi Richness","EM fungi R","Richness","Fungi"
"Dryland",-0.681405517602437,-0.23674547625874,0.209458713580102,"Arbuscularmycorrhizal_richness",5,"AM fungi Richness","AM fungi R","Richness","Fungi"
"Dryland",-0.899809159739465,-0.451660474376809,-0.000620367837890725,"Decomposer_richness",5,"Decomposer Richness","Decomposer R","Richness","Decomposers"
"Dryland",0.0187476039121342,0.470328955378493,0.918902930680991,"Bac_JaccDist_av",5,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Dryland",-0.13921609424901,0.30831750322524,0.753854468479807,"Fungi_JaccDist_av",5,"Fungal Dissimilarity","Fungal D","Dissimilarity","Fungi"
"Dryland",0.117900135051447,0.572765483294866,1.02401488614284,"Protist_JaccDist_av",5,"Protist Dissimilarity","Protist D","Dissimilarity","Protists"
"Dryland",0.00697758776761227,0.458205758560796,0.906501324016149,"Invertebrate_JaccDist_av",5,"Invertebrate Dissimilarity","Invertebrate D","Dissimilarity","Invertebrates"
"Dryland",-0.470314434362931,-0.0265351113150715,0.417416719803318,"Soil_carbon_service",6,"Soil carbon","Soil carbon","Function","Function"
"Dryland",-0.582429515001894,-0.138494632217803,0.306343100078008,"OM_decomposition_service",6,"Decomposition (OM)","Decomposition (OM)","Function","Function"
"Dryland",-0.0897185700248716,0.358926876236225,0.805251727073656,"Soil_stability_service",6,"Soil stability","Soil stability","Function","Function"
"Dryland",-0.787100145699098,-0.341071313619807,0.107166488115269,"Nutrient_service",6,"Nutrient cycling","Nutrient cycling","Function","Function"
"Dryland",-1.08751228823869,-0.634377529970932,-0.177275270570604,"Pathogen_control",6,"Pathogen control","Pathogen control","Function","Function"
"Dryland",-1.096480696942,-0.643063529888318,-0.185626035451518,"Bac_richness",6,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Dryland",-0.997342442573334,-0.546824605794866,-0.0928436108181052,"Fungi_richness",6,"Fungal Richness","Fungal R","Richness","Fungi"
"Dryland",-0.615687182796131,-0.171569974642196,0.273675934147125,"Invertebrate_richness",6,"Invertebrate Richness","Invertebrate R","Richness","Invertebrates"
"Dryland",-0.876509208041517,-0.42885096746919,0.0215593464500732,"Protist_richness",6,"Protist Richness","Protist R","Richness","Protists"
"Dryland",-1.07170374712893,-0.619057537697001,-0.162526803051849,"Nematode_richness",6,"Nematode Richness","Nematode R","Richness","Nematodes"
"Dryland",-1.08648469456235,-0.633382040685039,-0.17631667502547,"Bac_shannonDiv",6,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Dryland",-0.591398133389246,-0.147418695365446,0.297527060297333,"Fungi_shannonDiv",6,"Fungal Shannon","Fungal S","Shannon","Fungi"
"Dryland",-0.90863630880081,-0.460293395659567,-0.00900486491960979,"Invertebrate_shannonDiv",6,"Invertebrate Shannon","Invertebrate S","Shannon","Invertebrates"
"Dryland",-0.407005785726209,0.0369992778420752,0.480763099343555,"Protist_shannonDiv",6,"Protist Shannon","Protist S","Shannon","Protists"
"Dryland",-1.45143677323527,-0.983817575738767,-0.5104181389923,"Ectomycorrhizal_richness",6,"EM fungi Richness","EM fungi R","Richness","Fungi"
"Dryland",-0.780800092556784,-0.334870005111023,0.113230548953427,"Arbuscularmycorrhizal_richness",6,"AM fungi Richness","AM fungi R","Richness","Fungi"
"Dryland",-0.893628915230912,-0.44561380658208,0.00525413292578945,"Decomposer_richness",6,"Decomposer Richness","Decomposer R","Richness","Decomposers"
"Dryland",0.0557940830583698,0.508536150602379,0.958041166392653,"Bac_JaccDist_av",6,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Dryland",-0.121491115847044,0.326426541905582,0.772226119208161,"Fungi_JaccDist_av",6,"Fungal Dissimilarity","Fungal D","Dissimilarity","Fungi"
"Dryland",0.123766243299784,0.578845184484572,1.03027141203759,"Protist_JaccDist_av",6,"Protist Dissimilarity","Protist D","Dissimilarity","Protists"
"Dryland",-0.0136976716803483,0.436939839985723,0.884769351797676,"Invertebrate_JaccDist_av",6,"Invertebrate Dissimilarity","Invertebrate D","Dissimilarity","Invertebrates"
"Dryland",-0.501818570826756,-0.058062821717216,0.386068095688473,"Soil_carbon_service",7,"Soil carbon","Soil carbon","Function","Function"
"Dryland",-0.57630924281523,-0.132398566106987,0.312377374952937,"OM_decomposition_service",7,"Decomposition (OM)","Decomposition (OM)","Function","Function"
"Dryland",0.0907468337481596,0.544656967459517,0.995115355771834,"Soil_stability_service",7,"Soil stability","Soil stability","Function","Function"
"Dryland",-0.872626973320586,-0.425050117348521,0.0252574767195468,"Nutrient_service",7,"Nutrient cycling","Nutrient cycling","Function","Function"
"Dryland",-0.990638107358024,-0.540298143069807,-0.0865323683166157,"Pathogen_control",7,"Pathogen control","Pathogen control","Function","Function"
"Dryland",-1.04485683038697,-0.593004506014029,-0.137423939209314,"Bac_richness",7,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Dryland",-0.858991730622183,-0.411688019014425,0.038261505463371,"Fungi_richness",7,"Fungal Richness","Fungal R","Richness","Fungi"
"Dryland",-0.46755133705922,-0.0237648419995772,0.42017392943781,"Invertebrate_richness",7,"Invertebrate Richness","Invertebrate R","Richness","Invertebrates"
"Dryland",-0.803125905589534,-0.356836437273475,0.0917600179615497,"Protist_richness",7,"Protist Richness","Protist R","Richness","Protists"
"Dryland",-0.879724616778562,-0.431997497695134,0.018502410158717,"Nematode_richness",7,"Nematode Richness","Nematode R","Richness","Nematodes"
"Dryland",-1.01479242904537,-0.563800063717219,-0.10924164368732,"Bac_shannonDiv",7,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Dryland",-0.461539104304824,-0.0177433939068618,0.426168484766839,"Fungi_shannonDiv",7,"Fungal Shannon","Fungal S","Shannon","Fungi"
"Dryland",-0.83079847714513,-0.384029249435032,0.065225181085424,"Invertebrate_shannonDiv",7,"Invertebrate Shannon","Invertebrate S","Shannon","Invertebrates"
"Dryland",-0.433336972541634,0.0105454481325717,0.454358541152574,"Protist_shannonDiv",7,"Protist Shannon","Protist S","Shannon","Protists"
"Dryland",-1.27001885607256,-0.810375691178115,-0.345811937990315,"Ectomycorrhizal_richness",7,"EM fungi Richness","EM fungi R","Richness","Fungi"
"Dryland",-0.647719646549953,-0.203372657557657,0.24230833665915,"Arbuscularmycorrhizal_richness",7,"AM fungi Richness","AM fungi R","Richness","Fungi"
"Dryland",-0.74861004959509,-0.303148873933359,0.144277958702491,"Decomposer_richness",7,"Decomposer Richness","Decomposer R","Richness","Decomposers"
"Dryland",0.0191664834992123,0.470760530402615,0.919344568978045,"Bac_JaccDist_av",7,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Dryland",-0.167420719367397,0.27954568906744,0.724691090098036,"Fungi_JaccDist_av",7,"Fungal Dissimilarity","Fungal D","Dissimilarity","Fungi"
"Dryland",0.051695873851156,0.504301691627711,0.95369954313207,"Protist_JaccDist_av",7,"Protist Dissimilarity","Protist D","Dissimilarity","Protists"
"Dryland",-0.253649258329903,0.191864710500159,0.636127482717666,"Invertebrate_JaccDist_av",7,"Invertebrate Dissimilarity","Invertebrate D","Dissimilarity","Invertebrates"
"Dryland",-0.551383679167349,-0.107567974748236,0.336955401362095,"Soil_carbon_service",8,"Soil carbon","Soil carbon","Function","Function"
"Dryland",-0.509408882757951,-0.0656576395110959,0.378524794807906,"OM_decomposition_service",8,"Decomposition (OM)","Decomposition (OM)","Function","Function"
"Dryland",-0.10923902229264,0.338951596315009,0.784946346303727,"Soil_stability_service",8,"Soil stability","Soil stability","Function","Function"
