Order_ID,Latitude_c,Longitude_c,Eco_c,Soil_pH,Soil_salinity,Clay_silt_c,Soil_carbon_service,OM_decomposition_service,Water_regulation_service,Soil_stability_service,Nutrient_service,Pathogen_control,Richness_bacteria,Fungi_18s_richness,Invertebrate_18s_richness,Protist_18s_richness,Ectomycorrhizal_18s_richness,Arbuscular_mycorrhizal_18s_richness,Decomposers_18s_richness,Diss_Bacteria_std,Diss_Fungi_std,Diss_Protists_std,Diss_invert_std,Elevation,AnnualTemp,AnnualPrec,id.x,PA_type,PA,LC
290,19.081,-99.1701,Forest,4.98,141,52.8,0.35146329,0.196318552,0.347437827,0.55955956,0.529001479,0.990675991,2703,127,35,214,4,0,29,0.6831,0.6982,0.6837,0.645,3037,1.1250000000000058,1526.1000000000001,48,Ia,1,Woodland
302,40.57222,-4.15333,Forest,6.47,386,32.54,0.097699342,0.157874568,0.469845649,0.698698699,0.633968394,0.977855478,3960,205,45,539,8,1,43,0.1365,0.4718,0.1057,0.2614,1000,1.2550000000000012,827.8000000000001,49,Ia,1,Woodland
318,58.61782,-93.80862,Shrubland,4.74,88,13.44,0.087753734,0.156760736,0.23764863,0.541319097,0.463416926,0.998834499,1388,87,11,96,4,0,23,1,0.9951,0.7804,0.6024,36,-0.6549999999999955,570,50,NA,0,Shrubland
326,7.757,4.828,Forest,5.72,112,25.92,0.037511994,0.106269512,0.30104379,0.528317977,0.131344169,0.184149184,3906,193,26,454,1,3,45,0.5355,0.688,0.4873,0.5897,368,2.5050000000000012,1588.7,51,NA,0,Woodland
338,7.616,4.414,Forest,5.82,166,24.76,0.06170609,0.173700108,0.28378743,0.449449449,0.160263292,0.988344988,4027,164,58,533,6,2,48,0.5466,0.5547,0.3807,0.3944,270,2.5750000000000055,1429.3000000000002,52,NA,0,Woodland
341,7.615,4.385,Forest,6,72,37.14,0.045744394,0.218511468,0.406480248,0.171393616,0.058428203,0.972027972,4318,215,49,564,4,3,41,0.4167,0.6812,0.3496,0.4895,279,2.5750000000000055,1416.2,53,NA,0,Woodland
344,28.296,-81.0404,Forest,6.73,61,6.08,0.017689888,0.089619672,0.117642181,0.860404622,0.054169259,0.974358974,4332,183,44,420,2,1,38,0.4798,0.3884,0.371,0.4325,24,2.2150000000000034,1401.4,54,NA,0,Woodland
350,27.4712,-81.5303,Forest,6.97,75,13.3,0.030950434,0.046382458,0.274446556,0.84194721,0.053844434,0.988344988,3505,169,21,403,6,1,48,0.3745,0.4735,0.4324,0.6925,42,2.2550000000000012,1331.4,55,V,1,Woodland
356,26.909300000000002,-82.0678,Forest,7.54,87,7.86,0.014084207,0.082744992,0.283657008,0.518518519,0.068927787,0.953379953,3849,167,23,381,2,1,27,0.3931,0.5024,0.4132,0.6073,4,2.3150000000000035,1318.9,56,NA,0,Woodland
362,37.201074,-5.844497,Forest,5.64,91,15.48,0.026676682,0.114071791,0.431156087,0.942164387,0.077108217,0.984848485,3911,183,45,340,5,2,31,0.3716,0.5682,0.3829,0.3531,40,1.8650000000000033,672.7,57,NA,0,Woodland
368,40.095551,-8.493462,Forest,6.04,79,66.86,0.162795944,0.21969956,0.361863898,0.878393271,0.177673797,0.983682984,2336,175,42,233,11,0,33,0.4909,0.5591,0.5405,0.4871,110,1.5250000000000057,1036.9,58,NA,0,Woodland
374,41.15715,-8.48495,Forest,3.97,391,39.6,0.826805649,0.669170528,0.014741093,0.780911289,0.618203919,0.998834499,2195,129,48,303,11,0,39,0.9138,0.7356,0.6178,0.5208,140,1.5050000000000012,1518.9,59,IV,1,Woodland
379,31.751981,35.129151,Shrubland,7.93,144,63.18,0.043435403,0.166401623,0.5369749,0.793682571,0.360944637,0.934731935,4337,142,34,138,9,3,18,0.1573,0.5106,0.6055,0.4134,664,1.7550000000000012,671.3000000000001,60,NA,0,Shrubland
385,31.24933,34.741503,Moss_heath,8.02,163,53.16,0.026388058,0.168217764,0.400499833,0,0.140072157,0.354312354,3887,185,35,306,9,10,29,0.1651,0.3697,0.1684,0.5703,240,1.9650000000000034,254.9,61,NA,0,Other
391,31.27107,34.650329,Shrubland,8.19,144,29.5,0.016243856,0.115599025,0.401122058,0.115782449,0.081332921,0.631701632,3785,207,15,356,7,17,31,0.1759,0.2559,0.2107,0.8273,186,1.9850000000000023,275.2,62,NA,0,Shrubland
408,35.144,-111.273,Forest,7.16,105.1,26.53555556,0.02705989,0.098736283,0.480526969,0.679913247,0.053595359,0.954545455,4652,216,33,267,6,4,40,0.1415,0.2235,0.2648,0.425,1797,1.2650000000000035,354,63,NA,0,Woodland
415,35.385,-112.136,Forest,7.39,414,71.05888889,0.117608777,0.172072166,0.623789681,0.617150484,0.046860071,0.982517483,3679,106,9,82,7,0,21,0.2145,0.6681,0.8351,0.8443,2029,1.0250000000000057,466.3,64,NA,0,Woodland
421,39.954,-105.245,Grassland,6.1,152.2,30.33777778,0.05618114,0.059514697,0.406993235,0.96996997,0.025910014,0.98951049,3860,229,25,484,5,6,43,0.1213,0.3322,0.1381,0.3859,1687,0.8550000000000011,464.5,65,V,1,Grassland
428,39.958,-105.243,Grassland,5.93,145.5,32.97333333,0.088487527,0.091512369,0.444580736,0.874541208,0.035321865,0.948717949,4065,202,21,575,4,2,28,0.1136,0.2139,0.2328,0.5552,1687,0.8550000000000011,464.5,66,V,1,Grassland
432,39.959,-105.248,Grassland,5.7,299,33.28,0.110783484,0.199197767,0.475391793,0.96329663,0.039194165,0.975524476,3722,182,23,609,2,2,38,0.1687,0.4899,0.2872,0.682,1689,0.8550000000000011,466.70000000000005,67,NA,0,Grassland
436,39.94,-105.231,Grassland,5.97,229,40.84,0.086212429,0.107592132,0.432109593,0.973139806,0.018375907,0.939393939,4135,199,22,366,1,2,44,0.1021,0.2543,0.1751,0.333,1805,0.7850000000000023,488.1,68,V,1,Grassland
449,39.868,-105.243,Grassland,5.92,270,36.17222222,0.108963406,0.063594491,0.146069089,0.885218552,0.014791497,0.955710956,4087,179,38,611,0,3,34,0.091,0.4053,0.1996,0.408,1918,0.7250000000000056,497,69,V,1,Grassland
459,-38.737,-71.656,Forest,6.02,183.9,12.68222222,0.180856491,0.160914098,0.569391628,0.997290298,0.033747032,0.990675991,3567,145,5,279,3,1,31,0.4607,0.6193,0.5935,1,972,0.8050000000000012,3564.5,70,II,1,Woodland
463,-38.652,-71.645,Forest,5.66,104.33,7.7,0.261394948,0.264210907,0.721780779,0.882146584,0.034120713,0.968531469,3521,176,25,305,7,1,41,0.5954,0.663,0.4979,0.649,1168,0.6850000000000023,3023.6000000000004,71,II,1,Woodland
467,-38.65,-71.657,Forest,5.94,30.7,6.486666667,0.0147702,0.03499605,0.247976847,0.888321912,0.00380977,0.987179487,3286,218,25,422,13,3,49,0.597,0.6217,0.5115,0.7829,1239,0.6850000000000023,3150.5,72,II,1,Woodland
470,-38.758,-71.643,Shrubland,5.97,40.2,7.672222222,0.048645181,0.043491807,0.413670208,0.627627628,0.003386528,0.991841492,3525,129,15,234,3,0,32,0.4543,0.6916,0.5673,0.5834,895,0.8550000000000011,3452,73,II,1,Shrubland
477,-38.686,-71.614,Forest,5.79,123.2,4.916666667,0.119428855,0.085849846,0.457213518,0.936704486,0.030000663,0.928904429,3492,146,9,277,8,1,30,0.5442,0.765,0.5411,0.859,998,0.7950000000000046,2845,74,II,1,Woodland
490,63.974,-19.856,Moss_heath,6.07,79.8,21.61444444,0.072450191,0.066005471,0.547358862,0.172772773,0.036146877,0.94988345,3510,212,30,358,16,4,46,0.585,0.683,0.4759,0.3986,273,0.3450000000000045,1695.3000000000002,75,NA,0,Other
496,63.906,-19.968,Moss_heath,6.39,78.1,28.79777778,0.081662234,0.186909205,0.54149009,0.064998332,0.018601338,0.997668998,3445,208,26,387,7,3,44,0.6019,0.7832,0.406,0.6752,263,0.39500000000000457,1734.7,76,NA,0,Other
501,63.981,-19.864,Shrubland,6.49,50.3,23,0.058001218,0.035360725,0.465593926,0.44307641,0.015870789,0.997668998,3813,218,25,414,17,6,52,0.5798,0.7897,0.3951,0.5581,276,0.36500000000000343,1652.1000000000001,77,NA,0,Shrubland
512,28.608193,-17.837685,Forest,6.71,28.8,17.42333333,0.030700046,0.114147179,0.466265354,0.23954955,0.006814765,0.834498834,3485,202,18,243,4,5,37,0.4507,0.516,0.4706,0.502,1673,1.4750000000000056,690.9000000000001,78,Ib,1,Woodland
518,28.557715,-17.80905,Forest,6.81,137.8,14.12555556,0.102138113,0.226861548,0.519780604,0.904104104,0.022713659,0.948717949,4790,254,55,470,5,4,54,0.1926,0.2099,0.2206,0.2752,917,1.6750000000000056,652.7,79,NA,0,Woodland
