ID,nonPA,mahal.min,LC,times.with.error,times,n
259,22,10.182021008768412,Woodland,15,15,15
226,2183,11.859093658249536,Woodland,15,15,15
251,1201,16.591873675562898,Woodland,15,15,15
1096,2155,8.518411626293345,Woodland,15,15,15
258,2115,15.4786387053433,Woodland,15,15,15
210,243,10.499792247767504,Grassland,16,16,15
1123,1091,11.277834740887872,Grassland,16,16,15
1149,2144,13.458390678380054,Grassland,16,16,15
1153,1028,7.1875619258717505,Grassland,16,16,15
26,244,9.496855156497997,Grassland,16,16,15
1092,1034,15.99067264830764,Shrubland,16,16,15
1224,1017,7.39253574162455,Shrubland,16,16,15
1122,2162,10.72157052002875,Shrubland,16,16,15
1151,1004,12.636480510105413,Shrubland,16,16,15
1093,1088,6.7153588513268785,Shrubland,16,16,15
256,1142,14.605194658982198,Woodland,16,16,15
223,224,1.398772967490326,Woodland,16,16,15
226,2155,14.021448888067997,Woodland,16,16,15
1096,2183,12.191252960577861,Woodland,16,16,15
253,255,0.5926446494926493,Woodland,16,16,15
1152,1008,15.574870416310421,Grassland,17,17,15
28,2144,11.879814721351291,Grassland,17,17,15
1243,1264,14.833877522316564,Grassland,17,17,15
1083,283,8.65521357022376,Grassland,17,17,15
2167,1155,3.953172183328976,Grassland,17,17,15
1151,1017,6.65303526258341,Shrubland,17,17,15
1122,1006,7.10393095350153,Shrubland,17,17,15
1233,267,14.277968849232046,Shrubland,17,17,15
1094,1061,17.29223095876593,Shrubland,17,17,15
1054,2116,10.14523508058103,Shrubland,17,17,15
253,2200,14.736207755609191,Woodland,17,17,15
240,2133,5.1589011614820794,Woodland,17,17,15
1048,2210,16.165560918122452,Woodland,17,17,15
254,1142,14.925077209751546,Woodland,17,17,15
1047,224,13.47064454208093,Woodland,17,17,15
26,292,16.721926952743026,Grassland,18,18,15
1243,1255,14.808330123075017,Grassland,18,18,15
1081,2144,16.208675071584867,Grassland,18,18,15
1150,1008,12.950063514442201,Grassland,18,18,15
1083,1033,14.398257709898088,Grassland,18,18,15
1151,280,16.073885465546606,Shrubland,18,18,15
1093,1108,17.020386072364612,Shrubland,18,18,15
1089,2161,8.306426378846279,Shrubland,18,18,15
1223,1004,16.211148910737553,Shrubland,18,18,15
1092,2162,11.989322715489719,Shrubland,18,18,15
253,1141,15.269517533891426,Woodland,18,18,15
226,2160,7.850807156527902,Woodland,18,18,15
227,2157,10.582374819913532,Woodland,18,18,15
2204,2181,16.34232643931851,Woodland,18,18,15
2185,2115,17.335303050798363,Woodland,18,18,15
1084,282,13.709257742570555,Grassland,19,19,15
1232,1002,1.541797039680752,Grassland,19,19,15
1149,2145,15.71739830107194,Grassland,19,19,15
1150,1008,12.950063514442201,Grassland,19,19,15
1225,1003,8.825980125558152,Grassland,19,19,15
1093,1067,8.758965034332617,Shrubland,19,19,15
1224,2162,5.764239279711697,Shrubland,19,19,15
1231,280,8.580253549288708,Shrubland,19,19,15
1223,1018,6.558901661474727,Shrubland,19,19,15
250,1035,9.586940390833753,Shrubland,19,19,15
240,2196,13.78247786686458,Woodland,19,19,15
227,2184,7.028352768924328,Woodland,19,19,15
1095,260,9.767448343298865,Woodland,19,19,15
226,2151,16.315844906063983,Woodland,19,19,15
253,2140,17.392859752813532,Woodland,19,19,15
1149,282,16.617245730778624,Grassland,20,20,15
1152,243,10.62705947547468,Grassland,20,20,15
1150,1007,12.91949362276339,Grassland,20,20,15
1225,1195,15.913292947467063,Grassland,20,20,15
1083,292,4.036324864915747,Grassland,20,20,15
1224,1001,2.6758785540846146,Shrubland,20,20,15
1208,1023,14.819267471230944,Shrubland,20,20,15
1246,1005,3.8248907844813136,Shrubland,20,20,15
250,1035,9.586940390833753,Shrubland,20,20,15
1245,1004,15.452101724503253,Shrubland,20,20,15
1044,2200,9.429149189004852,Woodland,20,20,15
223,2131,15.007854005979516,Woodland,20,20,15
1048,1142,7.841183181517599,Woodland,20,20,15
2177,2139,9.426774682977847,Woodland,20,20,15
259,2133,16.014804160985822,Woodland,20,20,15
1149,1003,7.11028414663601,Grassland,21,21,15
1084,243,17.23979174393586,Grassland,21,21,15
26,1009,9.062811384828276,Grassland,21,21,15
1225,1195,15.913292947467063,Grassland,21,21,15
1082,1015,13.477358268777271,Grassland,21,21,15
1233,279,12.036490598121613,Shrubland,21,21,15
250,1034,17.43045218549884,Shrubland,21,21,15
1092,280,16.156457855073615,Shrubland,21,21,15
1053,1005,15.614313022617628,Shrubland,21,21,15
1151,248,11.122610931931689,Shrubland,21,21,15
1043,1051,7.21444482153729,Woodland,21,21,15
253,1138,16.543841825552168,Woodland,21,21,15
1046,2200,7.929934154985882,Woodland,21,21,15
2121,2206,14.340820044326303,Woodland,21,21,15
2138,277,15.463428904887754,Woodland,21,21,15
210,1028,17.42908292921522,Grassland,22,22,15
1123,1002,16.48140797274575,Grassland,22,22,15
25,290,14.783193492774929,Grassland,22,22,15
28,241,6.069758790055963,Grassland,22,22,15
1225,1086,8.971760064987208,Grassland,22,22,15
1094,1067,7.839352852275288,Shrubland,22,22,15
1052,1068,13.243454818379062,Shrubland,22,22,15
1054,279,3.3964993114020796,Shrubland,22,22,15
1093,1127,17.343442113763537,Shrubland,22,22,15
1224,2161,5.302234003637808,Shrubland,22,22,15
252,1145,15.553574481274252,Woodland,22,22,15
2177,2131,7.383516035017696,Woodland,22,22,15
1046,2140,17.123693809360148,Woodland,22,22,15
2121,260,15.497966903660451,Woodland,22,22,15
1096,24,11.532344402475871,Woodland,22,22,15
1152,243,10.62705947547468,Grassland,23,23,15
1150,1014,11.647718234419681,Grassland,23,23,15
2167,1100,12.353929642354906,Grassland,23,23,15
1084,2107,10.709051623823937,Grassland,23,23,15
1082,27,14.49230473992358,Grassland,23,23,15
1053,2165,12.77799330046565,Shrubland,23,23,15
1246,279,10.905661850452478,Shrubland,23,23,15
250,1035,9.586940390833753,Shrubland,23,23,15
1092,1034,15.99067264830764,Shrubland,23,23,15
1231,1001,0.3322262758454086,Shrubland,23,23,15
227,2140,10.599307252621484,Woodland,23,23,15
1048,2196,10.86934088561392,Woodland,23,23,15
2121,2115,3.7144278082399063,Woodland,23,23,15
1047,225,12.034125632474215,Woodland,23,23,15
1096,2210,15.135951446036916,Woodland,23,23,15
1081,241,14.73502360633012,Grassland,24,24,15
1152,1008,15.574870416310421,Grassland,24,24,15
1123,2146,13.93333008535064,Grassland,24,24,15
1153,1009,14.792954730947276,Grassland,24,24,15
1083,1014,13.77033616291652,Grassland,24,24,15
1089,1006,9.601883383557263,Shrubland,24,24,15
1092,1034,15.99067264830764,Shrubland,24,24,15
1246,1001,4.7044901818366105,Shrubland,24,24,15
1151,2218,4.758573130737776,Shrubland,24,24,15
1053,1018,13.203404475683245,Shrubland,24,24,15
256,2171,2.904491788585141,Woodland,24,24,15
1048,1116,12.809917053255948,Woodland,24,24,15
2212,2210,13.28309347458902,Woodland,24,24,15
1045,2201,10.498430341175023,Woodland,24,24,15
